Meeting Title,Meeting Row Title,Race Title,Distance,Prize,Time,Greyhound Name,Trainer Name
"Thursday, September 05",Crayford (GBR),Race 1,380m,$140 - $0 - $0,11:23PM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 1,380m,$140 - $0 - $0,11:23PM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 1,380m,$140 - $0 - $0,11:23PM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 1,380m,$140 - $0 - $0,11:23PM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 1,380m,$140 - $0 - $0,11:23PM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 2,380m,$155 - $0 - $0,11:41PM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 2,380m,$155 - $0 - $0,11:41PM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 2,380m,$155 - $0 - $0,11:41PM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 2,380m,$155 - $0 - $0,11:41PM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 2,380m,$155 - $0 - $0,11:41PM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 3,380m,$205 - $0 - $0,12:01AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 3,380m,$205 - $0 - $0,12:01AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 3,380m,$205 - $0 - $0,12:01AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 3,380m,$205 - $0 - $0,12:01AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 4,380m,$135 - $0 - $0,12:19AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 4,380m,$135 - $0 - $0,12:19AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 4,380m,$135 - $0 - $0,12:19AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 4,380m,$135 - $0 - $0,12:19AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 4,380m,$135 - $0 - $0,12:19AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 5,380m,$130 - $0 - $0,12:38AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 5,380m,$130 - $0 - $0,12:38AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 5,380m,$130 - $0 - $0,12:38AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 5,380m,$130 - $0 - $0,12:38AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 5,380m,$130 - $0 - $0,12:38AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 6,380m,$115 - $0 - $0,12:57AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 6,380m,$115 - $0 - $0,12:57AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 6,380m,$115 - $0 - $0,12:57AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 6,380m,$115 - $0 - $0,12:57AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 6,380m,$115 - $0 - $0,12:57AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 7,380m,$165 - $0 - $0,1:16AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 7,380m,$165 - $0 - $0,1:16AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 7,380m,$165 - $0 - $0,1:16AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 7,380m,$165 - $0 - $0,1:16AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 8,380m,$145 - $0 - $0,1:34AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 8,380m,$145 - $0 - $0,1:34AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 8,380m,$145 - $0 - $0,1:34AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 8,380m,$145 - $0 - $0,1:34AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 9,380m,$140 - $0 - $0,1:53AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 9,380m,$140 - $0 - $0,1:53AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 9,380m,$140 - $0 - $0,1:53AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 9,380m,$140 - $0 - $0,1:53AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 9,380m,$140 - $0 - $0,1:53AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 10,380m,$140 - $0 - $0,2:12AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 10,380m,$140 - $0 - $0,2:12AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 10,380m,$140 - $0 - $0,2:12AM (AEST),,
"Thursday, September 05",Crayford (GBR),Race 10,380m,$140 - $0 - $0,2:12AM (AEST),,
