resultPosition,trapNumber,raceTime,raceDate,raceId,raceNumber,raceClass,raceDistance,meetingId,trackName,dogId,dogName,dogSire,dogDam,trainerName,ownerName
1,6,21:52:00,01/01/2018,399731,12,A3,500.0,333909,Nottingham,485659,Comeout Honeypie,Mall Brandy,Comout To Play,A Stone,Mr A Stone
1,4,21:37:00,01/01/2018,399730,11,OR,500.0,333909,Nottingham,473163,Lowgate Belatrix,Windy Millar,Hawks Dutchess,J E Hayton,"Miss J De Baat,mr J E Hayton"
1,3,21:22:00,01/01/2018,399729,10,A5,500.0,333909,Nottingham,491888,Townside Onyx,Windy Millar,Cimla Superstar,J Gray,"Miss H Jones,mr S Jones"
1,5,21:07:00,01/01/2018,399728,9,OR,305.0,333909,Nottingham,503054,Wokeen,Paradise Madison,Swift Naomi,J F Sims,Jab Racing
1,5,20:52:00,01/01/2018,399727,8,OR,680.0,333909,Nottingham,470807,Glideaway Bertie,Kinloch Brae,Glideaway Marina,P T Maynard,Mr M F Merchant
1,3,20:37:00,01/01/2018,399726,7,A4,500.0,333909,Nottingham,473411,Blackhall Six,Droopys Scolari,Hi Treasure,J Gray,Mr S Aitken
1,4,20:22:00,01/01/2018,399725,6,OR,305.0,333909,Nottingham,491063,Alfies Streak,Droopys Alfie,Cals Streak,C D Loxley,Mr C D Loxley
1,1,20:07:00,01/01/2018,399724,5,A3,500.0,333909,Nottingham,479173,Harry Thinks So,Kinloch Brae,Tailteann Queen,J Gray,"Mr D Birkin,ms J Churton,miss C Lawrence"
1,4,19:52:00,01/01/2018,399723,4,OR,500.0,333909,Nottingham,499091,Ridgedale Max,Taylors Sky,Ridgedale Look,N J Hunt,Nicely Does It Syndicate
1,2,19:37:00,01/01/2018,399722,3,A4,500.0,333909,Nottingham,498007,Bee Queen,Tullymurry Act,Barrack Patsy,P Timmins,Mrs P Timmins
1,3,19:22:00,01/01/2018,399721,2,OR,305.0,333909,Nottingham,486530,Newlawn Adam,Ballymac Vic,Gurrane Princess,P J Simmonds,Mr P J Claxson
1,1,19:07:00,01/01/2018,399720,1,A2,500.0,333909,Nottingham,478514,Kizomba,Aero Majestic,Bunlahy Nipper,C N Wilton,Samba Racing
1,2,17:22:00,01/01/2018,399719,11,A5,500.0,333918,Sheffield,486672,Peekaboo Barney,Vans Escalade,Sidelight,J M Lowe,"Miss J M Lowe,mr D R Watson"
1,6,17:07:00,01/01/2018,399718,10,D2,280.0,333918,Sheffield,499594,Coney Sabella,Farloe Blitz,Swift Joy,A Mckenna,Coney Racing Club
1,2,16:48:00,01/01/2018,399628,11,A8,400.0,333932,Romford,498305,Kilbarry Spider,Scolari Me Daddy,Wee Black Spider,J S J Simpson,"Mr L Aylward,miss J A Hughes,mr P A James,mr L J Kelly"
1,4,16:47:00,01/01/2018,399717,9,A6,500.0,333918,Sheffield,452236,Katies General,Compass Don,Prodigy Diamond,T Bedford,Mr A W Birks
1,1,16:39:00,01/01/2018,399649,11,A6,480.0,333938,Monmore,452752,Sporting Loner,Droopys Scolari,Local Glamour,K Billingham,"Miss K Billingham,mr C J Jacob"
1,1,16:29:00,01/01/2018,399627,10,A1,400.0,333932,Romford,489834,Our Daisy May,Superior Product,Oneco Joy,B D O'sullivan,Mrs L Williams
1,5,16:27:00,01/01/2018,399716,8,A6,500.0,333918,Sheffield,471865,Soviet Lady,Droopys Scolari,Mohane Katie,D T Gomersall,"Mr D Johnson,mr P W Johnson,mr S W Johnson"
1,1,16:19:00,01/01/2018,399648,10,A5,480.0,333938,Monmore,500219,Ardera Diego,Archaton Pine,Ardera Moments,P I Cowdrill,Maelor Nine Legs
1,4,16:09:00,01/01/2018,399626,9,A6,400.0,333932,Romford,465310,Billy The Squid,Razldazl Jayfkay,Voltair Star,M E Wiley,Dunton Doggie Do Gooders
1,1,16:08:00,01/01/2018,399715,7,A6,500.0,333918,Sheffield,454728,Broomwell Sniper,Godsend,Broomwell Breeze,W Brown,Mr D Haigh
1,2,15:59:00,01/01/2018,399647,9,S2,630.0,333938,Monmore,486844,Whisky Jaydee,Vans Escalade,Sidelight,C Allsopp,Wolverdons Racing Syndicate
1,4,15:49:00,01/01/2018,399625,8,A4,400.0,333932,Romford,489831,Headleys Lily,Superior Product,Oneco Joy,M L Locke,Mr T Lambourne
