resultPosition,trapNumber,raceTime,raceDate,raceId,raceNumber,raceClass,raceDistance,meetingId,trackName,dogId,dogName,dogSire,dogDam,trainerName,ownerName
1,6,21:52:00,01/08/2024,1058071,12,D3,262.0,414687,Swindon,625461,Baggios Addition,Ballymac Eske,Droopys Creed,R Short,Mrs L Short
1,5,21:46:00,01/08/2024,1058239,12,A5,480.0,414699,Newcastle,634162,Hurry Up Ivy,Roxholme Nidge,Black Oliver IR,S Ray,"Mr S Ray,mrs P Skeats"
1,2,21:36:00,01/08/2024,1058070,11,A2,476.0,414687,Swindon,630269,Sporting Socks,Pestana,Sporting Pat,A M Kibble,Mr F Williams
1,4,21:28:00,01/08/2024,1058238,11,A1,480.0,414699,Newcastle,623324,Slingshot Phil,Dorotas Wildcat,Droopys Megan,B Fairbairn,"Mr C Armstrong,mr G Fairbairn"
1,3,21:23:00,01/08/2024,1058372,12,D3,264.0,414733,Monmore,638827,Winnies Smile,Malachi,Switch Patrol,J B Thompson,Berryhill W M C
1,1,21:20:00,01/08/2024,1058069,10,OR,476.0,414687,Swindon,629476,Ballymac Rocky,Ballymac Cashout,Murleys Ellie,A M Kibble,Mrs C J Trinder
1,1,21:16:00,01/08/2024,1058116,12,A3,500.0,414691,Hove,599990,Watsons Avenue,Magical Bale,Maireads Shauna,B S Green,"Mr J P Garner,mr J T Garner,mr S J Porter,mrs J K Porter"
1,6,21:11:00,01/08/2024,1058237,10,HP,480.0,414699,Newcastle,630922,Alanas Crash,Crash,Move Over Mabel,D Alcorn,Mr D Alcorn
1,4,21:09:00,01/08/2024,1058282,11,D2,260.0,414705,Valley,638599,Leahs Bess,Broadstrand Bono,Drunken Purchase,L Williams,Mrs J Barclay
1,3,21:04:00,01/08/2024,1058371,11,A4,480.0,414733,Monmore,641930,Ace Impact,Burgess Bucks,Lemon Skylar,I D Langford,Tuckers Luck Syndicate
1,1,21:02:00,01/08/2024,1058068,9,OR,262.0,414687,Swindon,629642,Dreamin Folly,Magical Bale,Bravo Kiss,W Russell,All The Luck In Life
