meetingDate,meetingId,trackName,raceTime,raceDate,raceId,raceTitle,raceNumber,raceType,raceHandicap,raceClass,raceDistance,racePrizes,raceGoing,raceForecast,raceTricast,trapNumber,trapHandicap,dogId,dogName,dogSire,dogDam,dogBorn,dogColour,dogSex,dogSeason,trainerName,ownerName,SP,resultPosition,resultMarketPos,resultMarketCnt,resultPriceNumerator,resultPriceDenominator,resultBtnDistance,resultSectionalTime,resultComment,resultRunTime,resultDogWeight,resultAdjustedTime
15/05/2024,410747,Romford,18:38:00,15/05/2024,1037796,ROMFORD Wednesday 15th May 2024 PGR  Meeting,1,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-2) £3.34,(5-2-6) £8.50,5,,641247,Minnie Royale,Ballymac Best,Aayamza Royale,Oct-2022,bd,b,Unknown,P W Young,Mr W R Mills,11/10F,1,1,1,11,10,,03.82,"QAw,MidTWide,ALd,HldOn",25.02,24.1,25.02
15/05/2024,410747,Romford,18:38:00,15/05/2024,1037796,ROMFORD Wednesday 15th May 2024 PGR  Meeting,1,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-2) £3.34,(5-2-6) £8.50,2,,640405,Knockaderry Coco,Broadstrand Bono,Allowdale Coco,Sep-2022,bk,b,Suppressed,M E Wiley,"Mr E V Wiley,mrs P E Wiley",6/4,2,2,1,6,4,SH,03.90,"MidTRls,Bumped1,ChlNrLn",25.03,29.6,25.03
15/05/2024,410747,Romford,18:38:00,15/05/2024,1037796,ROMFORD Wednesday 15th May 2024 PGR  Meeting,1,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-2) £3.34,(5-2-6) £8.50,6,,637019,Salems Daiquiri,Burgess Bucks,Steeple Rd Taylr,Aug-2022,bk,b,Spayed Jy.24,J Bloomfield,Miss K L Windebank,7/1,3,3,2,7,1,3 1/2,03.88,"Wide,Bumped1",25.29,23.8,25.29
15/05/2024,410747,Romford,18:38:00,15/05/2024,1037796,ROMFORD Wednesday 15th May 2024 PGR  Meeting,1,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-2) £3.34,(5-2-6) £8.50,4,,638531,Jeopardy Blitz,Burgess Bucks,Pipette,Sep-2022,bk,d,,P W Young,Jeopardy Racing Syndicate,12/1,4,5,2,12,1,2 1/2,03.95,"SAw,MidTWide,Bmp2&RnIn",25.49,31.3,25.49
15/05/2024,410747,Romford,18:38:00,15/05/2024,1037796,ROMFORD Wednesday 15th May 2024 PGR  Meeting,1,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-2) £3.34,(5-2-6) £8.50,1,,642173,Blue Eyes,Broadstrand Bono,Ballygrauige Sue,Jan-2023,be,b,Unknown,M E Westwood,Mr D P Webb,12/1,5,5,2,12,1,HD,03.98,"SAw,RlsTMid,FcdTCk 1/4,BRnIn",25.51,24.7,25.51
15/05/2024,410747,Romford,18:38:00,15/05/2024,1037796,ROMFORD Wednesday 15th May 2024 PGR  Meeting,1,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-2) £3.34,(5-2-6) £8.50,3,,639074,Romford Star,Magical Bale,Definate Ark,Oct-2022,f,b,05.Jn.24,K M O'flaherty,Mrs S A Button,7/1,6,3,2,7,1,SH,03.92,"Middle,Bumped1",25.52,25.5,25.52
15/05/2024,410747,Romford,18:56:00,15/05/2024,1037797,LIKE US ON FACEBOOK @ROMFORDDOGS,2,Flat,False,A4,400.0,1st £145 | Others £55 Race Total £420,0,(3-4) £23.66,(3-4-6) £79.52,3,,633039,Young Pizza,Broadstrand Bono,Princess Pizza,Sep-2021,bk,d,,P W Young,Young At Heart Syndicate,5/2F,1,1,1,5,2,,03.86,"EPace,Mid,BmpRnUp,Led2",24.21,32.6,24.21
15/05/2024,410747,Romford,18:56:00,15/05/2024,1037797,LIKE US ON FACEBOOK @ROMFORDDOGS,2,Flat,False,A4,400.0,1st £145 | Others £55 Race Total £420,0,(3-4) £23.66,(3-4-6) £79.52,4,,631341,Alonso,Magical Bale,Ballymurphy Gal,Feb-2022,bd,d,,D Mullins,Miss K Searle,8/1,2,6,1,8,1,4 1/2,03.83,"Middle,ClearRun",24.57,34.7,24.57
15/05/2024,410747,Romford,18:56:00,15/05/2024,1037797,LIKE US ON FACEBOOK @ROMFORDDOGS,2,Flat,False,A4,400.0,1st £145 | Others £55 Race Total £420,0,(3-4) £23.66,(3-4-6) £79.52,6,,593431,March On Ivy,Ballymac Best,Coolavanny Dream,Sep-2020,bk,b,26.Mr.23,K M O'flaherty,Prime Time Boys,9/2,3,5,1,9,2,1,03.73,"QuickAway,Wide,LedTo2",24.65,27.1,24.65
15/05/2024,410747,Romford,18:56:00,15/05/2024,1037797,LIKE US ON FACEBOOK @ROMFORDDOGS,2,Flat,False,A4,400.0,1st £145 | Others £55 Race Total £420,0,(3-4) £23.66,(3-4-6) £79.52,1,,636917,Avas Secret,Ballymac Cashout,Farm Shop Sinead,Jul-2022,bk,b,Suppressed,M E Westwood,Mr D P Webb,3/1,4,2,2,3,1,3,03.94,"Rails,ForcedToCheck3",24.89,27.8,24.89
15/05/2024,410747,Romford,18:56:00,15/05/2024,1037797,LIKE US ON FACEBOOK @ROMFORDDOGS,2,Flat,False,A4,400.0,1st £145 | Others £55 Race Total £420,0,(3-4) £23.66,(3-4-6) £79.52,2,,640828,Bombay Breeze,Pestana,Aayamza Breeze,May-2022,bk,b,Unknown,P W Young,Bombay Racing,4/1,5,4,1,4,1,1 1/2,03.98,"Middle,BmpRnUp& 3/4",25.01,26.5,25.01
15/05/2024,410747,Romford,18:56:00,15/05/2024,1037797,LIKE US ON FACEBOOK @ROMFORDDOGS,2,Flat,False,A4,400.0,1st £145 | Others £55 Race Total £420,0,(3-4) £23.66,(3-4-6) £79.52,5,,600619,Letsgolucky,Dorotas Wildcat,Droopys Frizz,Aug-2020,bd,b,Suppressed,P W Young,"Miss R M Resnick,mr A W Shaves",3/1,6,2,2,3,1,1,04.02,"SAw,Wide,Bumped 3/4",25.09,28.1,25.09
15/05/2024,410747,Romford,19:14:00,15/05/2024,1037798,FOSTER A GREYHOUND,3,Flat,False,A11,400.0,1st £105 | Others £45 Race Total £330,0,(5-1) £7.44,(5-1-6) £18.75,5,,623874,Jacksies Rosie,Sonic,Ballymac Velvet,Aug-2021,bk,b,Suppressed,M E Wiley,Mr M E Wiley,2/1,1,2,1,2,1,,03.76,"QuickAway,Wide,ALed",24.57,30.9,24.57
